Date,Close/Last,Volume,Open,High,Low
8/29/2023,297.99,"20,844,520.00",288.59,299.15,288.18
8/28/2023,290.26,"14,239,290.00",288.00,291.45,285.80
8/25/2023,285.50,"23,701,440.00",286.13,288.39,276.03
8/24/2023,286.75,"18,360,880.00",298.50,299.46,286.64
8/23/2023,294.24,"18,287,000.00",288.50,297.40,287.67
8/22/2023,287.60,"12,999,910.00",292.55,292.90,286.75
8/21/2023,289.90,"20,181,480.00",283.45,290.50,281.85
8/18/2023,283.25,"35,347,930.00",279.03,285.69,274.38
8/17/2023,285.09,"23,950,090.00",293.05,296.05,284.95
8/16/2023,294.29,"18,547,740.00",300.20,301.08,294.28
8/15/2023,301.95,"11,623,610.00",306.14,307.23,300.03
8/14/2023,306.19,"15,641,920.00",300.98,306.21,298.25
8/11/2023,301.64,"14,046,250.00",302.57,304.72,300.36
8/10/2023,305.74,"14,358,900.00",307.94,312.34,303.87
8/9/2023,305.21,"19,955,780.00",312.88,313.63,302.85
8/8/2023,312.64,"15,183,530.00",314.40,317.89,310.11
8/7/2023,316.56,"16,236,500.00",313.23,317.07,310.46
8/4/2023,310.73,"17,612,760.00",314.96,318.41,310.20
8/3/2023,313.19,"15,215,420.00",309.93,315.95,309.93
8/2/2023,314.31,"20,461,090.00",318.00,318.39,310.65
8/1/2023,322.71,"22,889,870.00",317.54,324.14,314.66
7/31/2023,318.60,"25,799,600.00",323.69,325.66,317.59
7/28/2023,325.48,"39,220,270.00",316.88,326.20,314.25
7/27/2023,311.71,"64,229,170.00",325.12,325.35,309.84
7/26/2023,298.57,"47,256,930.00",301.19,301.77,291.90
7/25/2023,294.47,"19,585,580.00",295.19,298.30,291.86
7/24/2023,291.61,"24,949,410.00",295.78,297.52,288.30
7/21/2023,294.26,"42,139,260.00",304.57,305.46,291.20
7/20/2023,302.52,"23,836,880.00",313.50,315.54,302.22
7/19/2023,316.01,"21,763,690.00",313.03,318.68,310.52
7/18/2023,312.05,"20,764,580.00",310.88,314.20,307.62
7/17/2023,310.62,"25,323,130.00",307.54,311.71,304.71
7/14/2023,308.87,"23,054,110.00",311.79,314.88,307.36
7/13/2023,313.41,"30,280,970.00",313.62,316.24,310.29
7/12/2023,309.34,"36,677,130.00",301.75,309.45,300.10
7/11/2023,298.29,"27,585,920.00",293.90,300.18,291.90
7/10/2023,294.10,"37,058,310.00",295.55,298.13,287.05
7/7/2023,290.53,"25,585,980.00",292.18,296.20,288.66
7/6/2023,291.99,"47,733,830.00",295.89,298.12,291.31
7/5/2023,294.37,"33,865,460.00",287.65,298.12,286.36
7/3/2023,286.02,"8,608,555.00",286.70,289.40,284.85
6/30/2023,286.98,"19,694,870.00",284.76,289.05,284.42
6/29/2023,281.53,"15,395,690.00",284.50,286.57,280.69
6/28/2023,285.29,"16,722,120.00",284.82,289.55,284.06
6/27/2023,287.05,"26,108,260.00",282.01,289.35,280.66
6/26/2023,278.47,"24,232,650.00",288.70,289.79,277.60
6/23/2023,288.73,"51,092,040.00",281.51,289.67,278.95
6/22/2023,284.88,"17,563,060.00",279.08,285.26,277.79
6/21/2023,281.64,"20,556,170.00",283.53,284.00,278.36
6/20/2023,284.33,"20,701,590.00",278.73,284.80,276.22
6/16/2023,281.00,"43,127,730.00",284.75,287.85,280.13
6/15/2023,281.83,"25,973,460.00",272.30,283.99,271.42
6/14/2023,273.35,"19,175,070.00",271.89,274.99,268.32
6/13/2023,271.32,"16,164,020.00",274.88,275.72,269.09
6/12/2023,271.05,"15,471,700.00",267.17,271.75,265.33
6/9/2023,264.95,"16,949,790.00",262.48,267.95,261.70
6/8/2023,264.58,"20,899,360.00",260.62,267.65,258.88
6/7/2023,263.60,"26,163,630.00",271.67,274.25,262.80
6/6/2023,271.12,"19,419,010.00",270.14,276.57,269.69
6/5/2023,271.39,"20,742,950.00",270.30,275.57,269.56
6/2/2023,272.61,"19,416,930.00",272.66,275.35,271.12
6/1/2023,272.61,"25,609,510.00",265.90,274.00,265.89
5/31/2023,264.72,"25,473,690.00",260.00,265.00,258.45
5/30/2023,262.52,"23,816,480.00",265.25,268.65,261.29
5/26/2023,262.04,"25,768,660.00",252.93,262.31,252.71
5/25/2023,252.69,"22,371,440.00",253.40,255.62,249.17
5/24/2023,249.21,"17,724,340.00",245.28,249.59,244.95
5/23/2023,246.74,"17,748,120.00",246.81,251.61,246.65
5/22/2023,248.32,"27,738,480.00",245.41,253.57,245.12
5/19/2023,245.64,"21,733,580.00",247.47,248.69,243.41
5/18/2023,246.85,"22,943,300.00",241.30,247.09,241.19
5/17/2023,242.49,"21,193,080.00",238.45,243.84,238.14
5/16/2023,238.82,"18,163,770.00",235.79,239.64,235.52
5/15/2023,238.86,"20,653,230.00",236.92,240.26,235.33
5/12/2023,233.81,"16,161,450.00",236.74,236.96,231.45
5/11/2023,235.79,"20,448,990.00",233.05,238.21,232.30
5/10/2023,233.08,"19,119,010.00",236.17,236.75,230.72
5/9/2023,233.37,"16,865,590.00",231.46,235.88,231.08
5/8/2023,233.27,"16,400,530.00",231.42,235.62,230.27
5/5/2023,232.78,"27,000,480.00",232.24,234.68,229.85
